AnimalID;Feature1;Feature2;Name;DateTime;OutcomeType;OutcomeSubtype;AnimalType;SexuponOutcome;AgeuponOutcome;Breed;Color
A679160;A67;67;;30/06/2014 17:15;Adoption;Foster;Dog;Spayed Female;1 month;Labrador Retriever/German Shepherd;Black/White
A679161;A67;67;;17/07/2014 14:27;Adoption;Foster;Dog;Neutered Male;2 months;Labrador Retriever/German Shepherd;Buff
A679165;A67;67;;21/05/2014 10:06;Euthanasia;Suffering;Cat;Intact Female;1 year;Domestic Shorthair Mix;Gray
A679166;A67;67;Blu;24/05/2014 15:29;Return_to_owner;;Dog;Neutered Male;1 year;German Shepherd Mix;Brown/Tan
A679167;A67;67;;17/05/2014 11:10;Euthanasia;Suffering;Cat;Intact Male;4 years;Domestic Shorthair Mix;Orange Tabby
A679168;A67;67;Willow;26/05/2014 17:29;Adoption;;Dog;Spayed Female;4 years;Italian Greyhound Mix;Fawn
A679172;A67;67;Tony;23/05/2014 17:46;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Brown Tabby
A679173;A67;67;Eve;24/05/2014 13:03;Adoption;;Cat;Spayed Female;2 months;Domestic Shorthair Mix;Black
A679174;A67;67;Cali;16/11/2015 12:02;Adoption;;Cat;Spayed Female;1 year;Domestic Shorthair Mix;Tortie/White
A679175;A67;67;Orange;20/05/2014 18:50;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Orange Tabby/White
A679180;A67;67;;17/05/2014 08:00;Transfer;SCRP;Cat;Intact Female;8 months;Domestic Shorthair Mix;Torbie
A679185;A67;67;;17/05/2014 13:29;Transfer;Partner;Cat;Intact Male;2 weeks;Domestic Shorthair Mix;White/Black
A679186;A67;67;;17/05/2014 13:30;Transfer;Partner;Cat;Intact Female;2 weeks;Domestic Shorthair Mix;White/Gray
A679187;A67;67;Ginger;20/01/2015 15:37;Adoption;;Dog;Spayed Female;1 year;Pit Bull Mix;Brown Brindle
A679188;A67;67;Seven;21/05/2014 17:13;Adoption;;Cat;Spayed Female;2 months;Domestic Shorthair Mix;Brown Tabby
A679189;A67;67;Bambino;19/05/2014 17:35;Adoption;;Cat;Neutered Male;2 months;Domestic Longhair Mix;Black/White
A679190;A67;67;Simon;22/05/2014 17:12;Adoption;;Cat;Neutered Male;2 months;Domestic Longhair Mix;Black/White
A679191;A67;67;Daisy;19/05/2014 17:35;Adoption;;Cat;Spayed Female;2 months;Domestic Longhair Mix;Silver Tabby/White
A679192;A67;67;Tinker;19/05/2014 18:24;Adoption;;Cat;Spayed Female;2 months;Domestic Medium Hair Mix;Brown Tabby/White
A679198;A67;67;Venus;21/05/2014 15:21;Transfer;Partner;Dog;Intact Female;3 years;Chihuahua Shorthair Mix;Tan
A679199;A67;67;Peluchi;19/05/2014 14:25;Return_to_owner;;Dog;Neutered Male;3 years;Chihuahua Shorthair Mix;Sable
A679200;A67;67;Curly Sue;27/05/2014 17:16;Adoption;;Dog;Spayed Female;1 year;Belgian Malinois Mix;Brown/White
A679201;A67;67;;17/05/2014 14:47;Transfer;Partner;Cat;Intact Male;3 weeks;Domestic Medium Hair Mix;Black/White
A679202;A67;67;;21/05/2014 15:21;Transfer;Partner;Dog;Intact Female;1 weeks;Chihuahua Shorthair Mix;Tan
A679203;A67;67;;21/05/2014 15:21;Transfer;Partner;Dog;Intact Female;1 weeks;Chihuahua Shorthair Mix;Tan
A679209;A67;67;Farley;23/10/2014 13:32;Adoption;;Cat;Neutered Male;5 months;Domestic Shorthair Mix;Orange Tabby
A679210;A67;67;Toffee;14/11/2014 14:24;Transfer;Partner;Cat;Spayed Female;6 months;Domestic Shorthair Mix;Brown Tabby
A679212;A67;67;;19/05/2014 16:56;Euthanasia;Suffering;Cat;Intact Female;2 weeks;Domestic Shorthair Mix;Tortie
A679213;A67;67;Tucker;18/09/2015 11:46;Adoption;Foster;Dog;Neutered Male;3 years;Black Mouth Cur Mix;Tan
A679215;A67;67;;17/05/2014 08:00;Transfer;SCRP;Cat;Intact Female;3 months;Domestic Shorthair Mix;Brown Tabby/White
A679216;A67;67;Grover;18/05/2014 12:05;Return_to_owner;;Dog;Neutered Male;6 years;Australian Shepherd Mix;Tricolor/Black
A679217;A67;67;;17/05/2014 08:00;Transfer;SCRP;Cat;Intact Female;3 months;Domestic Shorthair Mix;Blue Tabby/White
A679222;A67;67;;17/05/2014 08:00;Transfer;SCRP;Cat;Intact Female;4 years;Domestic Shorthair Mix;Cream Tabby
A679223;A67;67;Steve-O;18/05/2014 12:06;Return_to_owner;;Dog;Neutered Male;3 years;Chihuahua Shorthair Mix;White/Brown
A679227;A67;67;Bo;23/05/2014 18:54;Return_to_owner;;Dog;Neutered Male;4 years;Labrador Retriever Mix;Yellow
A679228;A67;67;Buttercup;24/05/2014 14:35;Adoption;;Dog;Spayed Female;3 years;Brittany/Labrador Retriever;Red
A679233;A67;67;Chispita;22/05/2014 17:37;Return_to_owner;;Dog;Spayed Female;11 months;Miniature Poodle/Lhasa Apso;Black/White
A679234;A67;67;Coronel;26/05/2014 14:02;Return_to_owner;;Dog;Intact Male;2 years;German Shepherd Mix;Black
A679237;A67;67;;21/05/2014 12:41;Transfer;Partner;Dog;Intact Male;4 months;Chihuahua Shorthair Mix;Chocolate/Tan
A679238;A67;67;Pico;19/10/2014 15:40;Adoption;;Cat;Neutered Male;5 months;Domestic Shorthair Mix;Orange Tabby
A679240;A67;67;Jude;24/05/2014 17:03;Adoption;Foster;Dog;Neutered Male;1 month;Beagle/Pug;White/Brown
A679259;A67;67;Pablo;26/05/2014 11:22;Adoption;;Dog;Neutered Male;8 years;Miniature Schnauzer/Miniature Poodle;Black
A679260;A67;67;Churchill;22/05/2014 12:07;Transfer;Partner;Dog;Intact Male;5 years;Pekingese Mix;White
A679261;A67;67;Toonami;26/07/2014 17:31;Adoption;;Cat;Neutered Male;3 years;Domestic Shorthair Mix;Brown Tabby
A679262;A67;67;;18/05/2014 15:36;Transfer;Partner;Cat;Intact Male;3 weeks;Domestic Shorthair Mix;Orange Tabby/White
A679263;A67;67;;18/05/2014 15:36;Transfer;Partner;Cat;Intact Female;3 weeks;Domestic Shorthair Mix;Cream Tabby
A679264;A67;67;;18/05/2014 15:36;Transfer;Partner;Cat;Intact Female;3 weeks;Domestic Shorthair Mix;Torbie
A679269;A67;67;Tempo;19/05/2014 18:53;Return_to_owner;;Dog;Neutered Male;5 years;Australian Shepherd;Tricolor
A679273;A67;67;Marmalade;12/09/2014 11:24;Adoption;Foster;Cat;Neutered Male;5 months;Domestic Shorthair Mix;Orange Tabby
A679275;A67;67;;20/05/2014 08:00;Transfer;SCRP;Cat;Intact Female;3 years;Domestic Medium Hair Mix;Brown Tabby
A679277;A67;67;;05/06/2014 15:32;Adoption;Foster;Dog;Spayed Female;10 months;Siberian Husky Mix;Black/White
A679279;A67;67;Cheeco;20/05/2014 18:33;Return_to_owner;;Dog;Neutered Male;3 years;Chihuahua Shorthair Mix;Tricolor
A679289;A67;67;Tony;08/07/2014 14:48;Transfer;Partner;Cat;Intact Male;3 months;Domestic Shorthair Mix;Black/White
A679290;A67;67;Lily;27/05/2014 17:24;Adoption;;Dog;Spayed Female;1 year;Dachshund Mix;Black/White
A679298;A67;67;Debo;03/06/2014 18:54;Euthanasia;Aggressive;Dog;Intact Male;6 years;Labrador Retriever/Pit Bull;Black Brindle/Brown Brindle
A679304;A67;67;Sheila;19/01/2015 18:38;Adoption;;Dog;Spayed Female;10 months;German Shepherd Mix;Brown/Black
A679308;A67;67;Juliet;01/08/2014 08:09;Adoption;Foster;Cat;Spayed Female;1 year;Domestic Shorthair Mix;Calico
A679309;A67;67;;07/07/2014 11:22;Died;In Foster;Cat;Intact Male;1 month;Domestic Shorthair Mix;Orange Tabby/White
A679311;A67;67;;06/07/2014 14:14;Died;In Foster;Cat;Intact Male;1 month;Domestic Shorthair Mix;Cream Tabby
A679313;A67;67;Ellie;30/05/2014 11:13;Return_to_owner;;Dog;Intact Female;3 years;Pit Bull/American Bulldog;Black/White
A679315;A67;67;;29/06/2014 18:55;Adoption;;Cat;Spayed Female;2 months;Domestic Shorthair Mix;Torbie
A679320;A67;67;Ashley;30/05/2014 08:43;Adoption;;Cat;Intact Female;1 month;Domestic Shorthair Mix;Brown Tabby/White
A679322;A67;67;;25/05/2014 18:17;Adoption;;Cat;Neutered Male;2 months;Maine Coon Mix;Brown Tabby
A679328;A67;67;;20/05/2014 17:32;Transfer;Partner;Cat;Intact Female;1 month;Domestic Medium Hair Mix;Torbie/White
A679330;A67;67;Hercules;18/06/2014 12:49;Adoption;;Dog;Neutered Male;7 months;Pit Bull Mix;White/Tan
A679331;A67;67;Louie;02/06/2014 19:00;Adoption;;Dog;Neutered Male;10 months;Chihuahua Shorthair/Beagle;Buff/White
A679333;A67;67;;20/05/2014 16:38;Transfer;Partner;Cat;Intact Male;3 weeks;Domestic Shorthair Mix;Brown Tabby
A679335;A67;67;Rosie;25/05/2014 15:30;Return_to_owner;;Dog;Spayed Female;12 years;Chihuahua Shorthair/Miniature Schnauzer;Black/Tan
A679337;A67;67;;21/05/2014 08:00;Transfer;SCRP;Cat;Intact Female;1 year;Domestic Shorthair Mix;Calico
A679339;A67;67;Elly Mae;31/05/2014 13:57;Transfer;Partner;Cat;Intact Female;1 month;Domestic Shorthair Mix;Orange Tabby/White
A679340;A67;67;Jed;31/05/2014 13:58;Transfer;Partner;Cat;Intact Male;1 month;Domestic Shorthair Mix;Black/White
A679341;A67;67;Jethro;31/05/2014 13:58;Transfer;Partner;Cat;Intact Male;1 month;Domestic Shorthair Mix;Brown Tabby
A679345;A67;67;Lana;24/05/2014 12:13;Adoption;;Dog;Spayed Female;1 year;Belgian Malinois Mix;Tan/Black
A679346;A67;67;Houston;03/09/2014 13:32;Return_to_owner;;Dog;Neutered Male;3 years;Pit Bull Mix;Blue/Tan
A679348;A67;67;;01/06/2014 17:03;Adoption;;Dog;Spayed Female;8 months;Chihuahua Shorthair Mix;Buff
A679351;A67;67;;26/05/2014 14:15;Adoption;;Cat;Spayed Female;3 months;Domestic Shorthair Mix;Calico
A679352;A67;67;Bobby;25/05/2014 13:31;Adoption;;Cat;Neutered Male;3 months;Snowshoe Mix;Seal Point
A679357;A67;67;;19/05/2014 08:00;Transfer;SCRP;Cat;Unknown;2 years;Domestic Shorthair Mix;Black/White
A679360;A67;67;Dexter;30/06/2014 10:38;Adoption;Foster;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Black/White
A679362;A67;67;Patches;23/06/2014 12:19;Transfer;Partner;Dog;Spayed Female;4 years;Pit Bull Mix;Brown/White
A679368;A67;67;;20/05/2014 11:15;Transfer;Partner;Cat;Intact Male;2 weeks;Domestic Shorthair Mix;Orange Tabby
A679369;A67;67;;20/05/2014 11:15;Transfer;Partner;Cat;Intact Female;2 weeks;Domestic Shorthair Mix;Calico
A679373;A67;67;Buttercup;25/05/2014 13:56;Return_to_owner;;Dog;Spayed Female;1 year;Dachshund/Chihuahua Shorthair;Black/Tan
A679375;A67;67;Sarah;20/05/2014 14:31;Return_to_owner;;Dog;Spayed Female;5 years;Shetland Sheepdog Mix;Tricolor/Black
A679376;A67;67;Arya;18/07/2014 17:21;Adoption;;Dog;Spayed Female;2 years;Staffordshire;Black/White
A679377;A67;67;Oreo;07/06/2014 19:01;Adoption;;Cat;Neutered Male;1 year;Domestic Longhair Mix;Black/White
A679381;A67;67;Cola;07/02/2015 11:24;Return_to_owner;;Dog;Intact Male;1 year;Chihuahua Shorthair/Dachshund;Tan/White
A679384;A67;67;;24/05/2014 17:17;Adoption;;Dog;Spayed Female;2 months;Australian Shepherd Mix;Chocolate/White
A679386;A67;67;Coco;15/07/2015 13:48;Transfer;Partner;Dog;Intact Female;4 years;Pit Bull Mix;Chocolate/White
A679392;A67;67;Lila;21/07/2014 11:39;Transfer;Partner;Dog;Intact Female;1 year;Pit Bull Mix;Black/White
A679393;A67;67;Sam;17/06/2014 13:49;Transfer;Partner;Cat;Neutered Male;14 years;Domestic Shorthair Mix;Brown Tabby
A679395;A67;67;Pearl;15/06/2014 13:48;Adoption;Foster;Cat;Spayed Female;2 months;Himalayan;Flame Point
A679396;A67;67;Blitz;24/05/2014 10:27;Euthanasia;Aggressive;Dog;Neutered Male;3 years;Pit Bull Mix;Chocolate/White
A679397;A67;67;;25/05/2014 12:04;Transfer;Partner;Dog;Intact Male;1 month;German Shepherd/Cardigan Welsh Corgi;Tricolor
A679399;A67;67;;25/05/2014 12:04;Transfer;Partner;Dog;Intact Male;1 month;German Shepherd/Cardigan Welsh Corgi;Tricolor
A679400;A67;67;;25/05/2014 16:59;Adoption;;Dog;Spayed Female;1 month;German Shepherd/Cardigan Welsh Corgi;Tricolor
A679401;A67;67;;23/05/2014 19:05;Transfer;SCRP;Cat;Intact Female;2 years;Domestic Shorthair Mix;Black/White
A679405;A67;67;;25/05/2014 16:57;Adoption;;Dog;Spayed Female;8 months;Australian Kelpie/Australian Shepherd;Brown/Black
A679406;A67;67;Piper;26/06/2014 12:14;Transfer;Partner;Dog;Spayed Female;3 months;Labrador Retriever/Pointer;Black/White
A679408;A67;67;;20/05/2014 10:55;Transfer;Partner;Dog;Intact Female;5 months;Chihuahua Shorthair Mix;Black/White
A679409;A67;67;Cooper;27/05/2014 18:29;Adoption;;Dog;Neutered Male;2 months;Labrador Retriever Mix;Buff
A679410;A67;67;;20/05/2014 17:18;Transfer;Partner;Cat;Intact Male;6 days;Domestic Shorthair Mix;Black/White
A679412;A67;67;Marybell;17/06/2014 13:46;Transfer;Partner;Dog;Intact Female;3 years;Pit Bull Mix;White/Brown
A679414;A67;67;Bevo;11/06/2014 14:17;Adoption;;Dog;Neutered Male;1 year;American Bulldog Mix;White/Brown Brindle
A679416;A67;67;Travis;29/05/2014 12:47;Adoption;;Dog;Neutered Male;6 months;Labrador Retriever/Pit Bull;Chocolate/White
A679419;A67;67;Hoppin' Jon;23/07/2014 14:48;Euthanasia;Aggressive;Dog;Neutered Male;2 years;Pit Bull/Catahoula;Brown/White
A679423;A67;67;;22/05/2014 19:11;Transfer;SCRP;Cat;Spayed Female;4 years;Domestic Shorthair Mix;Orange Tabby
A679426;A67;67;Willie;31/05/2014 17:02;Return_to_owner;;Dog;Neutered Male;5 years;Chihuahua Shorthair Mix;Black/Brown
A679429;A67;67;Goose;25/06/2014 12:04;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Cream Tabby
A679430;A67;67;Four;12/07/2014 16:09;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Cream Tabby/White
A679431;A67;67;Maui;04/07/2014 16:06;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Orange Tabby/White
A679433;A67;67;Polly;27/07/2014 17:02;Adoption;;Cat;Spayed Female;1 year;Domestic Shorthair Mix;Orange Tabby
A679435;A67;67;Cheesebrgr;27/05/2014 15:26;Adoption;;Dog;Neutered Male;1 year;German Shepherd Mix;Black/Brown
A679437;A67;67;Princess;07/07/2014 12:52;Transfer;Partner;Cat;Spayed Female;1 year;Domestic Shorthair Mix;Tortie
A679438;A67;67;Patches;25/05/2014 14:52;Return_to_owner;;Cat;Spayed Female;1 year;Domestic Shorthair Mix;Tortie/White
A679440;A67;67;;21/05/2014 13:46;Transfer;Partner;Cat;Intact Male;4 days;Domestic Shorthair Mix;Black/White
A679441;A67;67;;21/05/2014 13:47;Transfer;Partner;Cat;Intact Male;4 days;Domestic Shorthair Mix;Cream Tabby/White
A679442;A67;67;;21/05/2014 13:47;Transfer;Partner;Cat;Intact Male;2 weeks;Domestic Shorthair Mix;Blue/White
A679443;A67;67;;21/05/2014 13:47;Transfer;Partner;Cat;Intact Male;2 weeks;Domestic Shorthair Mix;Black/White
A679446;A67;67;Rasputin;05/07/2014 16:00;Adoption;;Cat;Neutered Male;4 years;Domestic Medium Hair Mix;Blue
A679447;A67;67;;21/05/2014 12:34;Transfer;Partner;Cat;Intact Male;3 weeks;Domestic Shorthair Mix;Black
A679448;A67;67;;21/05/2014 12:34;Transfer;Partner;Cat;Intact Male;3 weeks;Domestic Shorthair Mix;Orange Tabby
A679449;A67;67;;21/05/2014 12:34;Transfer;Partner;Cat;Intact Male;3 weeks;Domestic Shorthair Mix;Orange Tabby
A679450;A67;67;;21/05/2014 12:35;Transfer;Partner;Cat;Intact Male;3 weeks;Domestic Shorthair Mix;Blue Tabby
A679451;A67;67;;21/05/2014 12:35;Transfer;Partner;Cat;Intact Female;3 weeks;Domestic Shorthair Mix;Blue Tabby
A679452;A67;67;;21/05/2014 12:35;Transfer;Partner;Cat;Intact Male;3 weeks;Domestic Shorthair Mix;Brown Tabby
A679453;A67;67;;21/05/2014 12:36;Transfer;Partner;Cat;Intact Female;1 month;Domestic Shorthair Mix;Calico
A679456;A67;67;Kovu;29/05/2014 17:03;Adoption;;Cat;Neutered Male;2 months;Manx Mix;Blue Tabby
A679457;A67;67;Nali;18/10/2014 11:07;Adoption;;Cat;Spayed Female;7 months;Domestic Shorthair Mix;Torbie
A679459;A67;67;Major;13/06/2014 12:48;Euthanasia;Behavior;Dog;Neutered Male;3 years;Border Collie Mix;Black/White
A679461;A67;67;Liam;06/07/2014 15:20;Adoption;Foster;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Black/White
A679462;A67;67;Neo;30/05/2014 14:52;Transfer;Partner;Dog;Intact Male;8 months;Lhasa Apso Mix;Cream/Tan
A679463;A67;67;;02/06/2014 08:00;Transfer;SCRP;Cat;Intact Female;2 years;Domestic Shorthair Mix;Brown Tabby/White
A679464;A67;67;Buddy;31/05/2014 16:50;Adoption;;Dog;Neutered Male;1 year;Rat Terrier/Basenji;Red/White
A679467;A67;67;Asia;03/06/2014 13:01;Return_to_owner;;Dog;Spayed Female;2 years;Siberian Husky Mix;Black/Brown
A679469;A67;67;;24/05/2014 17:16;Transfer;Partner;Dog;Intact Male;2 months;Labrador Retriever/German Shepherd;Black/Brown
A679470;A67;67;;24/05/2014 17:16;Transfer;Partner;Dog;Intact Male;2 months;Labrador Retriever/German Shepherd;Brown/Black
A679471;A67;67;;24/05/2014 17:17;Transfer;Partner;Dog;Intact Female;2 months;German Shepherd/Labrador Retriever;Red/Black
A679472;A67;67;;24/05/2014 17:17;Transfer;Partner;Dog;Intact Female;2 months;German Shepherd/Labrador Retriever;Brown
A679475;A67;67;Louie;02/07/2014 17:36;Transfer;Partner;Dog;Neutered Male;2 years;Pit Bull Mix;Blue/White
A679476;A67;67;Queenie;25/05/2014 09:52;Adoption;;Dog;Spayed Female;7 years;Maltese/Jack Russell Terrier;White/Tan
A679478;A67;67;Ramona;21/06/2014 13:47;Adoption;;Cat;Spayed Female;2 months;Domestic Shorthair Mix;Tortie
A679481;A67;67;Max;05/01/2015 15:20;Adoption;;Dog;Neutered Male;10 months;Black Mouth Cur Mix;Brown/Black
A679483;A67;67;Charlie;17/06/2014 13:26;Transfer;Partner;Dog;Neutered Male;5 months;German Shepherd Mix;Tricolor
A679484;A67;67;;24/05/2014 17:20;Transfer;Partner;Dog;Intact Female;2 months;Australian Cattle Dog Mix;White/Tan
A679486;A67;67;Bernice;28/07/2014 14:58;Euthanasia;Suffering;Cat;Spayed Female;10 years;Domestic Shorthair Mix;Torbie
A679487;A67;67;;22/05/2014 19:17;Transfer;SCRP;Cat;Unknown;1 year;Domestic Shorthair Mix;Black/White
A679489;A67;67;Fideo;26/05/2014 18:44;Adoption;;Dog;Neutered Male;1 year;Chihuahua Shorthair Mix;Chocolate/White
A679493;A67;67;Harlie;05/06/2014 17:43;Return_to_owner;;Cat;Neutered Male;9 months;Domestic Shorthair Mix;Blue/White
A679498;A67;67;Teal;22/05/2014 17:57;Return_to_owner;;Cat;Neutered Male;5 years;Domestic Shorthair Mix;White
A679499;A67;67;Panda;22/05/2014 17:57;Return_to_owner;;Cat;Neutered Male;5 years;Domestic Shorthair Mix;Black/White
A679500;A67;67;;21/05/2014 17:44;Transfer;Partner;Cat;Intact Male;2 weeks;Domestic Shorthair Mix;Brown Tabby/White
A679501;A67;67;;21/05/2014 17:45;Transfer;Partner;Cat;Intact Male;2 weeks;Domestic Shorthair Mix;Brown Tabby/White
A679502;A67;67;;22/05/2014 19:17;Transfer;SCRP;Cat;Unknown;2 years;Domestic Shorthair Mix;White/Black
A679503;A67;67;;22/05/2014 19:17;Transfer;SCRP;Cat;Unknown;2 years;Domestic Medium Hair Mix;Black/White
A679505;A67;67;;28/05/2014 15:39;Adoption;;Cat;Neutered Male;4 months;Domestic Shorthair Mix;Blue
A679508;A67;67;;22/05/2014 19:17;Transfer;SCRP;Cat;Intact Female;1 year;Domestic Shorthair Mix;Calico
A679511;A67;67;Mary Jane;31/05/2014 11:28;Return_to_owner;;Dog;Spayed Female;5 years;Pit Bull Mix;Blue/White
A679512;A67;67;;25/05/2014 12:06;Transfer;Partner;Dog;Intact Male;1 month;Boxer Mix;Brown/White
A679513;A67;67;;25/05/2014 12:06;Transfer;Partner;Dog;Intact Male;1 month;Boxer Mix;Brown/White
A679514;A67;67;;25/05/2014 12:06;Transfer;Partner;Dog;Intact Male;1 month;Boxer Mix;Brown/White
A679515;A67;67;Eddie;12/07/2014 13:19;Adoption;;Cat;Neutered Male;8 years;Domestic Medium Hair;Black
A679516;A67;67;Tillie;11/06/2014 11:09;Transfer;Partner;Dog;Spayed Female;10 years;Shetland Sheepdog;Black/Brown
A679518;A67;67;;22/05/2014 11:12;Transfer;Partner;Dog;Intact Female;1 month;Pit Bull Mix;Black/White
A679519;A67;67;Candy;14/09/2014 19:10;Adoption;Foster;Cat;Spayed Female;4 months;Domestic Shorthair Mix;Torbie/White
A679522;A67;67;;23/05/2014 19:07;Transfer;SCRP;Cat;Unknown;1 year;Domestic Shorthair Mix;White/Black
A679523;A67;67;Beans;28/07/2014 14:39;Transfer;Partner;Cat;Unknown;1 year;Domestic Medium Hair Mix;Blue/White
A679524;A67;67;;23/05/2014 19:06;Transfer;SCRP;Cat;Unknown;1 year;Domestic Medium Hair Mix;Black
A679526;A67;67;;23/05/2014 19:10;Transfer;SCRP;Cat;Intact Female;1 year;Siamese Mix;Seal Point
A679528;A67;67;;23/05/2014 19:11;Transfer;SCRP;Cat;Unknown;2 years;Domestic Shorthair Mix;White/Brown Tabby
A679529;A67;67;;29/05/2014 12:55;Euthanasia;Aggressive;Dog;Intact Male;2 years;American Staffordshire Terrier Mix;Black/White
A679533;A67;67;Star;28/05/2014 14:23;Euthanasia;Aggressive;Dog;Intact Female;3 years;Pit Bull Mix;White/Brown
A679534;A67;67;;23/05/2014 09:14;Transfer;Partner;Cat;Intact Male;2 weeks;Domestic Shorthair Mix;Orange Tabby
A679535;A67;67;;23/05/2014 09:14;Transfer;Partner;Cat;Intact Male;2 weeks;Domestic Shorthair Mix;Cream Tabby
A679536;A67;67;Smokey;23/11/2015 00:00;Transfer;Partner;Dog;Neutered Male;3 years;Chihuahua Shorthair Mix;Brown
A679538;A67;67;;23/05/2014 19:15;Transfer;SCRP;Cat;Unknown;1 year;Domestic Shorthair Mix;Blue
A679547;A67;67;Greta;16/06/2014 13:53;Transfer;Partner;Cat;Spayed Female;2 months;Domestic Shorthair Mix;Black/White
A679549;A67;67;Gilbert;16/06/2014 13:54;Transfer;Partner;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Black/White
A679550;A67;67;Susie;12/07/2014 17:42;Adoption;Foster;Cat;Spayed Female;2 months;Domestic Shorthair Mix;Black/White
A679552;A67;67;Frank;26/05/2014 14:14;Return_to_owner;;Dog;Neutered Male;1 year;Plott Hound Mix;Yellow Brindle
A679555;A67;67;Coco;15/09/2014 15:25;Adoption;;Dog;Spayed Female;9 months;Boston Terrier Mix;White
A679557;A67;67;Peanutbutter;27/05/2014 17:47;Adoption;;Dog;Neutered Male;10 months;Miniature Schnauzer/Miniature Poodle;Buff
A679565;A67;67;Diamond;26/05/2014 11:01;Euthanasia;Medical;Dog;Intact Female;1 year;Pit Bull Mix;Brown/White
A679569;A67;67;;29/05/2014 11:32;Adoption;;Dog;Neutered Male;2 months;Labrador Retriever Mix;Black/White
A679570;A67;67;;28/05/2014 17:05;Adoption;;Dog;Neutered Male;2 months;Labrador Retriever Mix;Brown/Black
A679571;A67;67;Bruno;01/06/2014 11:22;Return_to_owner;;Dog;Intact Male;7 years;Dachshund Mix;Red
A679572;A67;67;Beau;19/06/2014 18:13;Adoption;Foster;Cat;Neutered Male;1 month;Domestic Medium Hair Mix;Brown Tabby
A679573;A67;67;;31/05/2014 19:02;Adoption;;Dog;Neutered Male;2 years;Border Collie Mix;Black/White
A679575;A67;67;Hooper;13/12/2014 13:39;Adoption;;Dog;Neutered Male;3 years;American Staffordshire Terrier Mix;Brown Brindle/White
A679576;A67;67;;24/05/2014 17:33;Transfer;SCRP;Cat;Intact Male;2 years;Domestic Shorthair Mix;Black
A679577;A67;67;;08/08/2014 12:26;Adoption;Foster;Dog;Neutered Male;1 year;Chihuahua Shorthair Mix;Black/White
A679578;A67;67;Gabe;13/07/2014 13:59;Adoption;;Dog;Neutered Male;2 years;American Bulldog Mix;Black/White
A679579;A67;67;Suzie;12/07/2014 17:09;Adoption;Foster;Cat;Spayed Female;2 months;Domestic Shorthair Mix;Brown Tabby/White
A679580;A67;67;Chalupa;10/06/2014 16:35;Transfer;Partner;Dog;Spayed Female;4 years;Pug/Chihuahua Shorthair;White/Brown
A679581;A67;67;Flaco;29/05/2014 15:03;Adoption;;Dog;Neutered Male;2 years;Pug/Chihuahua Shorthair;Black/White
A679582;A67;67;Suzie;05/06/2014 15:49;Transfer;Partner;Cat;Spayed Female;2 months;Domestic Medium Hair Mix;Blue
A679583;A67;67;Fanny;29/05/2014 19:08;Transfer;SCRP;Cat;Intact Female;4 years;Domestic Shorthair Mix;Tortie
A679586;A67;67;Ophelia;13/07/2014 17:50;Adoption;Foster;Cat;Spayed Female;2 months;Domestic Shorthair Mix;Black
A679592;A67;67;Caramel;12/07/2014 12:20;Adoption;Foster;Cat;Spayed Female;3 months;Domestic Shorthair Mix;Torbie
A679593;A67;67;Snickerdood;12/07/2014 17:27;Adoption;Foster;Cat;Neutered Male;3 months;Domestic Shorthair Mix;Brown Tabby
A679594;A67;67;Cocoa;02/07/2014 13:18;Adoption;Foster;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Black
A679595;A67;67;Gizmo;06/06/2014 16:36;Transfer;Partner;Dog;Neutered Male;6 years;Chihuahua Shorthair Mix;White/Chocolate
A679596;A67;67;Sandy;02/06/2014 18:29;Return_to_owner;;Dog;Spayed Female;3 years;Doberman Pinsch Mix;Liver/Buff
A679597;A67;67;Bruno;27/05/2014 17:43;Adoption;;Dog;Neutered Male;4 months;Pit Bull/Labrador Retriever;Black/White
A679600;A67;67;Frankie;11/06/2014 17:01;Adoption;;Cat;Neutered Male;2 months;Domestic Medium Hair Mix;Black
A679605;A67;67;;23/05/2014 16:24;Transfer;Partner;Dog;Intact Male;1 month;Pit Bull Mix;Brown/Chocolate
A679606;A67;67;;23/05/2014 16:24;Transfer;Partner;Dog;Intact Male;1 month;Pit Bull Mix;Brown
A679607;A67;67;;23/05/2014 16:24;Transfer;Partner;Dog;Intact Male;1 month;Pit Bull Mix;Brown/White
A679610;A67;67;Lady J;28/05/2014 17:19;Adoption;;Dog;Spayed Female;1 year;Shiba Inu/Siberian Husky;Yellow/White
A679615;A67;67;Minerva;29/05/2014 16:18;Transfer;Partner;Cat;Intact Female;1 month;Domestic Shorthair Mix;Black/White
A679617;A67;67;Angela;11/06/2014 16:58;Transfer;Partner;Dog;Spayed Female;2 years;Great Pyrenees Mix;White
A679620;A67;67;;29/05/2014 14:16;Transfer;Partner;Dog;Intact Male;4 years;German Shepherd;Brown/Black
